Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
112050,IT754893,IT Support,246323 USD,2018-01-27
826833,IT213456,IT Support,204479 EUR,2018-01-20
663318,DE767565,Professional Services,133376 RON,2018-01-14
301006,FR329083,Beverages and Catering,203624 USD,2018-01-24
250261,DE767565,Concierge Services,5157.6 RON,2018-01-07
700257,DE767565,Beverages and Catering,88034.4 CAD,2018-01-05
708788,DE325476,Various paper supplies,83008.8 RON,2018-01-18
215835,FR065748,Various paper supplies,101118 EUR,2018-01-10
982763,FR065748,Waste management services,62688 CAD,2018-01-24
231319,RO125678,IT Support,199584 EUR,2018-01-21
526408,DE456232,Concierge Services,286088 CAD,2018-01-16
147239,DE767565,Concierge Services,328956 EUR,2018-01-14
296596,RO125678,Professional Services,19576.8 CAD,2018-01-03
955164,RO254678,Waste management services,358205 CAD,0000-00-00
349606,DE456232,Beverages and Catering,332614 USD,2018-01-03
680422,RU567434,IT Support,186982 USD,2018-02-24
696770,RO254678,Concierge Services,298045 CAD,2018-02-21
101435,FR329083,Waste management services,48073.2 RON,2018-02-18
362980,RO125678,Professional Services,180900 RON,2018-02-04
942753,IT213456,Concierge Services,141878 CAD,2018-02-04
570199,RO254678,Waste management services,343736 USD,2018-02-28
160970,RU567434,Waste management services,113412 CAD,2018-02-24
568949,DE456232,IT Support,284838 RON,2018-02-01
867556,DE325476,Beverages and Catering,77523.6 CAD,2018-02-14
421789,RO094782,Waste management services,227950 RON,2018-02-14
713873,DE767565,IT Support,184925 EUR,2018-02-03
450884,IT754893,Beverages and Catering,176729 RON,2018-02-11
951433,IT213456,Concierge Services,77594.4 CAD,2018-03-07
145432,RO345879,Concierge Services,175057 CAD,2018-03-17
718496,IT213456,Various paper supplies,84091.2 CAD,2018-03-13
180554,RO345879,IT Support,147407 EUR,2018-03-15
966270,FR329083,IT Support,191676 RON,2018-03-01
757355,FR329083,Beverages and Catering,47340 CAD,2018-03-07
915888,RU567434,Various paper supplies,321379 EUR,2018-03-13
944362,FR065748,Professional Services,95078.4 CAD,2018-03-09
506388,IT754893,IT Support,193259 CAD,2018-03-07
619253,RO125678,Waste management services,124826 RON,2018-03-03
714418,DE767565,Professional Services,48972 CAD,2018-03-20
879597,DE325476,IT Support,269692 RON,2018-03-07
382372,DE456232,Concierge Services,233618 USD,2018-03-16
819443,RU567434,Waste management services,10266 USD,2018-03-15
898280,FR065748,Professional Services,50821.2 USD,2018-04-05
773364,IT754893,Beverages and Catering,33037.2 CAD,0000-00-00
345482,DE325476,Various paper supplies,164327 USD,2018-04-04
478960,IT754893,Concierge Services,99602.4 RON,2018-04-20
620940,RO094782,Beverages and Catering,302700 CAD,2018-04-27
762047,DE325476,Professional Services,340112 CAD,2018-04-11
280375,RO254678,Professional Services,286003 EUR,2018-04-02
107898,DE456232,IT Support,167944 USD,2018-04-16
831527,RO125678,Waste management services,262022 CAD,2018-04-17
762735,IT754893,Waste management services,16564.8 RON,2018-04-03
992552,DE456232,Concierge Services,193802 USD,2018-04-26
571893,RO094782,Professional Services,359792 CAD,2018-04-01
404249,RO094782,Concierge Services,191875 EUR,2018-05-06
159601,DE325476,IT Support,249737 EUR,2018-05-22
888978,RO125678,Waste management services,272268 EUR,2018-05-27
437239,DE767565,Waste management services,127452 CAD,2018-05-05
250072,DE456232,IT Support,212069 EUR,2018-05-06
538633,RO254678,Professional Services,282295 EUR,2018-05-02
544962,RO254678,Concierge Services,19618.8 RON,2018-05-24
221812,FR065748,IT Support,201514 RON,2018-05-14
681492,DE456232,IT Support,267250 USD,2018-05-21
335814,FR329083,Professional Services,167790 EUR,2018-05-15
629479,RO345879,IT Support,283720 USD,2018-05-13
304695,RO345879,Beverages and Catering,231354 EUR,2018-05-08
825419,DE767565,Professional Services,216812 EUR,2018-05-05
434159,FR065748,Waste management services,256037 CAD,2018-05-17
569416,DE325476,Waste management services,272500 CAD,2018-05-09
319420,RO094782,Beverages and Catering,334847 RON,2018-05-21
413393,RO345879,Beverages and Catering,218479 CAD,2018-05-13
473144,DE767565,Concierge Services,143833 CAD,2018-05-01
532224,FR329083,Professional Services,147905 USD,2018-06-15
262754,FR065748,Waste management services,912 RON,2018-06-16
107477,FR065748,Concierge Services,105892 RON,2018-06-01
494637,DE767565,IT Support,179687 RON,2018-06-24
119049,FR065748,IT Support,177102 CAD,2018-06-10
432307,FR065748,Professional Services,116551 EUR,2018-06-18
286076,RO125678,Various paper supplies,295174 EUR,2018-06-17
440260,RO254678,Concierge Services,132821 RON,2018-06-03
922977,RO345879,IT Support,279792 EUR,2018-06-21
591454,DE456232,IT Support,57890.4 EUR,2018-06-17
893980,DE325476,Concierge Services,16626 RON,2018-06-26
828123,DE456232,Waste management services,347327 CAD,2018-06-28
404607,DE767565,Concierge Services,108154 USD,2018-06-28
376616,RU567434,Concierge Services,257323 RON,2018-06-08
923884,RO094782,Beverages and Catering,177095 USD,2018-06-06
152238,DE456232,Professional Services,158165 CAD,2018-06-16
129749,RO345879,IT Support,323569 EUR,2018-06-04
241897,IT754893,Professional Services,27880.8 RON,2018-06-26
527552,IT213456,Waste management services,342796 EUR,2018-07-13
881672,IT213456,IT Support,133960 USD,2018-07-18
923656,RO125678,IT Support,264912 EUR,0000-00-00
151083,DE456232,Various paper supplies,340403 RON,2018-07-21
149050,RO125678,Waste management services,85195.2 CAD,2018-07-19
282983,IT213456,Beverages and Catering,9099.6 CAD,0000-00-00
958396,DE767565,Professional Services,330466 USD,2018-07-11
267740,IT213456,Various paper supplies,13008 USD,2018-07-26
366477,RO254678,Professional Services,68701.2 RON,2018-07-21
579047,RU567434,Beverages and Catering,298312 CAD,2018-07-13
898094,IT754893,Professional Services,84102 CAD,2018-07-20
355028,IT213456,Concierge Services,61000.8 USD,2018-07-26
524156,IT754893,Beverages and Catering,114808 EUR,2018-08-12
773048,RO125678,Various paper supplies,217140 CAD,2018-08-24
547769,DE325476,IT Support,190201 EUR,0000-00-00
443651,DE456232,IT Support,11314.8 RON,2018-08-24
606012,RO345879,Professional Services,354230 CAD,2018-08-04
751282,DE325476,Beverages and Catering,207234 EUR,2018-08-13
498484,DE767565,Concierge Services,226814 CAD,2018-08-20
507242,FR065748,Various paper supplies,91371.6 EUR,2018-08-12
836092,RO125678,Concierge Services,155230 CAD,2018-08-02
933144,IT754893,Professional Services,205238 RON,2018-08-04
813667,DE767565,Professional Services,161695 RON,2018-08-27
708317,FR065748,Professional Services,138349 USD,2018-08-12
261745,DE325476,Professional Services,34849.2 RON,0000-00-00
377984,RO345879,Waste management services,217308 USD,2018-08-04
396502,RO125678,Concierge Services,215989 USD,2018-08-02
672439,DE767565,Beverages and Catering,334926 CAD,2018-08-05
960098,DE767565,Beverages and Catering,65458.8 USD,2018-09-02
747032,FR065748,Concierge Services,207358 EUR,2018-09-04
625084,DE325476,Various paper supplies,339370 EUR,2018-09-28
653958,RU567434,Beverages and Catering,244762 EUR,2018-09-22
584358,DE325476,Concierge Services,327716 RON,2018-09-23
781773,RU567434,Concierge Services,118674 USD,2018-09-15
606168,IT213456,IT Support,284185 EUR,2018-09-17
625443,RO125678,Professional Services,69640.8 USD,2018-09-08
696402,RO125678,Beverages and Catering,156562 USD,2018-09-28
656429,IT754893,Beverages and Catering,85539.6 RON,2018-10-20
462684,DE767565,Waste management services,46431.6 RON,2018-10-05
113120,DE456232,Various paper supplies,493.2 USD,2018-10-17
331942,FR329083,IT Support,272380 EUR,2018-10-26
583717,RU567434,Waste management services,46656 EUR,2018-10-10
644268,RO254678,Professional Services,21676.8 CAD,0000-00-00
400931,RO125678,Beverages and Catering,7520.4 CAD,2018-10-13
523608,DE767565,Waste management services,187835 USD,2018-10-13
133330,IT213456,Professional Services,174859 USD,2018-10-23
379669,RO094782,Concierge Services,40729.2 EUR,2018-10-13
751451,DE767565,Various paper supplies,56498.4 RON,2018-10-03
416528,IT754893,Concierge Services,40617.6 EUR,2018-10-17
680067,RO094782,IT Support,239327 USD,2018-10-09
414307,IT213456,Beverages and Catering,343465 USD,2018-10-12
116470,DE767565,Waste management services,160788 CAD,0000-00-00
207952,DE325476,IT Support,121478 USD,2018-10-24
680441,RO254678,Various paper supplies,2204.4 CAD,2018-10-10
210709,RO345879,Waste management services,185284 RON,2018-10-19
109467,DE456232,Professional Services,294198 EUR,2018-11-05
756729,IT754893,Waste management services,115534 EUR,2018-11-10
469391,DE456232,Concierge Services,244798 CAD,2018-11-11
930760,DE325476,Various paper supplies,332945 RON,2018-11-08
238187,DE325476,Professional Services,100102 USD,2018-11-09
121042,RU567434,Professional Services,114079 EUR,2018-11-07
639089,DE325476,Professional Services,75542.4 RON,2018-11-17
136462,FR065748,Concierge Services,215365 RON,2018-11-08
511772,RU567434,IT Support,100445 EUR,2018-11-20
663856,RO125678,Concierge Services,242826 USD,2018-11-10
530707,RO254678,Professional Services,321286 RON,2018-11-05
803313,DE767565,Various paper supplies,296404 EUR,2018-11-28
268427,RO345879,Beverages and Catering,210427 RON,2018-11-03
236650,RO254678,Beverages and Catering,149908 EUR,2018-12-04
996629,FR065748,Concierge Services,137724 RON,2018-12-25
851374,RO125678,Professional Services,73128 EUR,2018-12-10
124631,FR065748,Beverages and Catering,128897 RON,2018-12-02
913805,RO125678,Beverages and Catering,343871 RON,2018-12-19
743559,IT213456,Various paper supplies,298950 USD,2018-12-07
618332,FR329083,Beverages and Catering,90092.4 CAD,2018-12-04
353741,RO345879,Various paper supplies,284178 RON,2018-12-17
461761,DE767565,IT Support,99655.2 RON,2018-12-11
849985,RO345879,Concierge Services,232976 EUR,2018-12-20
675561,DE456232,Concierge Services,323842 EUR,2018-12-04
177043,RO254678,Beverages and Catering,135799 USD,2018-12-01
367264,DE456232,Concierge Services,206573 CAD,2018-12-26
744694,DE767565,Beverages and Catering,323420 USD,2018-12-07
